snapped_at,price,market_cap,total_volume
2023-06-11 00:00:00 UTC,1754.6732284106363,210950148701.20724,41417850678.713905
2023-06-12 00:00:00 UTC,1751.7245965042496,210604043872.2481,5031836446.183817
2023-06-13 00:00:00 UTC,1742.5960525666158,209462687695.93982,6731496663.213711
2023-06-14 00:00:00 UTC,1736.7894371674618,208703993936.8153,6798862284.580931
2023-06-15 00:00:00 UTC,1650.6766675535464,198559274296.62064,8025571357.471881
2023-06-16 00:00:00 UTC,1664.9774623940225,200099209933.71683,8283225649.8762865
2023-06-17 00:00:00 UTC,1716.3772810928574,206321573355.89554,7008799576.1543255
2023-06-18 00:00:00 UTC,1726.3728097349979,207595972780.22693,4859690685.481605
2023-06-19 00:00:00 UTC,1719.2731615068672,206730774198.4613,4084738737.028457
2023-06-20 00:00:00 UTC,1734.7931034426633,208507638780.89432,5770983890.906085
2023-06-21 00:00:00 UTC,1790.1904407317654,215060967094.14032,7900259127.350303
2023-06-22 00:00:00 UTC,1892.899571916819,227581626984.15152,12294793429.600212
2023-06-23 00:00:00 UTC,1874.1779470167141,225381084937.87924,9842202528.70774
2023-06-24 00:00:00 UTC,1891.3450080216778,227419416441.5965,9303341351.32525
2023-06-25 00:00:00 UTC,1875.0599619284883,225448939889.35513,4889178964.702732
2023-06-26 00:00:00 UTC,1899.1473121046054,228332438014.13016,7363880089.050316
2023-06-27 00:00:00 UTC,1859.8024196427973,223061316934.54123,9893270861.839865
2023-06-28 00:00:00 UTC,1890.0129037837075,227143144300.65317,8806434878.37696
2023-06-29 00:00:00 UTC,1828.4583364007253,219923192180.68494,6821723542.735137
2023-06-30 00:00:00 UTC,1853.4452458749938,222892015037.67108,6609358548.632103
2023-07-01 00:00:00 UTC,1934.0457142617754,232417040695.4234,11695335269.509533
2023-07-02 00:00:00 UTC,1924.5672408676514,231096044843.46228,5763533551.087498
2023-07-03 00:00:00 UTC,1933.9598813832074,232373535009.1871,7183593046.18616
